layer,x1,y1,x2,y2,width,height,area,grid_r,grid_c
via1,18.085,23.885,18.255,24.055,0.16999999999999815,0.16999999999999815,0.02889999999999937,2,1
via1,7.045,22.865000000000002,7.215,23.035,0.16999999999999993,0.16999999999999815,0.028899999999999672,2,0
via1,17.165,22.865000000000002,17.335,23.035,0.1700000000000017,0.16999999999999815,0.028899999999999974,2,1
via1,7.965,22.185,8.135,22.355,0.16999999999999993,0.1700000000000017,0.028900000000000276,2,0
via1,7.045,20.485,7.215,20.655,0.16999999999999993,0.1700000000000017,0.028900000000000276,2,0
via1,11.185,20.485,11.355,20.655,0.16999999999999993,0.1700000000000017,0.028900000000000276,2,1
via1,12.105,20.485,12.275,20.655,0.16999999999999993,0.1700000000000017,0.028900000000000276,2,1
via1,9.805,20.145,9.975,20.315,0.16999999999999993,0.1700000000000017,0.028900000000000276,2,0
via1,7.965,19.805,8.135,19.975,0.16999999999999993,0.1700000000000017,0.028900000000000276,1,0
via1,10.265,19.465,10.435,19.635,0.16999999999999993,0.1700000000000017,0.028900000000000276,1,1
via1,10.725,18.105,10.895,18.275000000000002,0.16999999999999993,0.1700000000000017,0.028900000000000276,1,1
via1,8.425,17.765,8.595,17.935,0.16999999999999993,0.16999999999999815,0.028899999999999672,1,0
via1,11.645,17.765,11.815,17.935,0.16999999999999993,0.16999999999999815,0.028899999999999672,1,1
via1,8.885,17.425,9.055,17.595,0.16999999999999993,0.16999999999999815,0.028899999999999672,1,0
via1,12.105,17.425,12.275,17.595,0.16999999999999993,0.16999999999999815,0.028899999999999672,1,1
via1,13.945,16.745,14.115,16.915,0.16999999999999993,0.16999999999999815,0.028899999999999672,1,1
via1,10.265,15.725,10.435,15.895,0.16999999999999993,0.16999999999999993,0.028899999999999974,1,1
via1,12.105,15.725,12.275,15.895,0.16999999999999993,0.16999999999999993,0.028899999999999974,1,1
via1,9.805,15.045,9.975,15.215,0.16999999999999993,0.16999999999999993,0.028899999999999974,1,0
via1,11.185,15.045,11.355,15.215,0.16999999999999993,0.16999999999999993,0.028899999999999974,1,1
via1,7.965,13.005,8.135,13.175,0.16999999999999993,0.16999999999999993,0.028899999999999974,1,0
via1,7.045,11.985,7.215,12.155000000000001,0.16999999999999993,0.1700000000000017,0.028900000000000276,1,0
via1,17.165,11.985,17.335,12.155000000000001,0.1700000000000017,0.1700000000000017,0.02890000000000058,1,1
via1,18.085,11.305,18.255,11.475,0.16999999999999815,0.16999999999999993,0.028899999999999672,1,1
via2,9.645,24.405,9.795,24.555,0.15000000000000036,0.14999999999999858,0.02249999999999984,2,0
via2,9.965,24.405,10.115,24.555,0.15000000000000036,0.14999999999999858,0.02249999999999984,2,0
via2,10.285,24.405,10.435,24.555,0.15000000000000036,0.14999999999999858,0.02249999999999984,2,1
via2,10.605,24.405,10.755,24.555,0.15000000000000036,0.14999999999999858,0.02249999999999984,2,1
via2,10.925,24.405,11.075000000000001,24.555,0.15000000000000036,0.14999999999999858,0.02249999999999984,2,1
via2,11.245000000000001,24.405,11.395,24.555,0.14999999999999858,0.14999999999999858,0.022499999999999572,2,1
via2,17.045,24.405,17.195,24.555,0.14999999999999858,0.14999999999999858,0.022499999999999572,2,1
via2,17.365000000000002,24.405,17.515,24.555,0.14999999999999858,0.14999999999999858,0.022499999999999572,2,1
via2,17.685,24.405,17.835,24.555,0.15000000000000213,0.14999999999999858,0.022500000000000107,2,1
via2,18.005,24.405,18.155,24.555,0.15000000000000213,0.14999999999999858,0.022500000000000107,2,1
via2,18.325,24.405,18.475,24.555,0.15000000000000213,0.14999999999999858,0.022500000000000107,2,1
via2,18.645,24.405,18.795,24.555,0.15000000000000213,0.14999999999999858,0.022500000000000107,2,1
via2,19.015,23.895,19.165,24.045,0.14999999999999858,0.15000000000000213,0.022500000000000107,2,1
via2,7.055,22.875,7.205,23.025000000000002,0.15000000000000036,0.15000000000000213,0.022500000000000374,2,0
via2,17.175,22.875,17.325,23.025000000000002,0.14999999999999858,0.15000000000000213,0.022500000000000107,2,1
via2,12.115,22.195,12.265,22.345,0.15000000000000036,0.14999999999999858,0.02249999999999984,2,1
via2,13.345,21.685,13.495000000000001,21.835,0.15000000000000036,0.15000000000000213,0.022500000000000374,2,1
via2,13.665000000000001,21.685,13.815,21.835,0.14999999999999858,0.15000000000000213,0.022500000000000107,2,1
via2,13.985,21.685,14.135,21.835,0.15000000000000036,0.15000000000000213,0.022500000000000374,2,1
via2,14.305,21.685,14.455,21.835,0.15000000000000036,0.15000000000000213,0.022500000000000374,2,1
via2,14.625,21.685,14.775,21.835,0.15000000000000036,0.15000000000000213,0.022500000000000374,2,1
via2,14.945,21.685,15.095,21.835,0.15000000000000036,0.15000000000000213,0.022500000000000374,2,1
via2,4.295,20.495,4.445,20.645,0.15000000000000036,0.14999999999999858,0.02249999999999984,2,0
via2,11.655,20.495,11.805,20.645,0.15000000000000036,0.14999999999999858,0.02249999999999984,2,1
via2,17.175,20.495,17.325,20.645,0.14999999999999858,0.14999999999999858,0.022499999999999572,2,1
via2,8.895,19.815,9.045,19.965,0.15000000000000036,0.14999999999999858,0.02249999999999984,1,0
via2,8.435,19.475,8.585,19.625,0.15000000000000036,0.14999999999999858,0.02249999999999984,1,0
via2,9.645,18.965,9.795,19.115000000000002,0.15000000000000036,0.15000000000000213,0.022500000000000374,1,0
via2,9.965,18.965,10.115,19.115000000000002,0.15000000000000036,0.15000000000000213,0.022500000000000374,1,0
via2,10.285,18.965,10.435,19.115000000000002,0.15000000000000036,0.15000000000000213,0.022500000000000374,1,1
